Wavelength (nm)	Transmission (%)
380.00	0.0024876201059669
381.00	0.0023102399427444
382.00	0.0021005300804973
383.00	0.0026821799110621
384.00	0.0033854399807751
385.00	0.0039015898946673
386.00	0.0043719299137592
387.00	0.0037292500492185
388.00	0.0076538799330592
389.00	0.01235149987042
390.00	0.014615300111473
391.00	0.015499199740589
392.00	0.017859000712633
393.00	0.03017090074718
394.00	0.074455298483372
395.00	0.19239799678326
396.00	0.3362840116024
397.00	0.4076269865036
398.00	0.42545500397682
399.00	0.4138819873333
400.00	0.36981299519539
401.00	0.35683599114418
402.00	0.33779698610306
403.00	0.27986401319504
404.00	0.24085000157356
405.00	0.20075500011444
406.00	0.13108099997044
407.00	0.087743602693081
408.00	0.079905599355698
409.00	0.11497700214386
410.00	0.22081799805164
411.00	0.33616098761559
412.00	0.30069500207901
413.00	0.20181499421597
414.00	0.17618800699711
415.00	0.25534600019455
416.00	0.32150700688362
417.00	0.20862099528313
418.00	0.088621996343136
419.00	0.041790198534727
420.00	0.034035798162222
421.00	0.038815900683403
422.00	0.041090998798609
423.00	0.028291400521994
424.00	0.013283000327647
425.00	0.0061650699935853
426.00	0.0034734699875116
427.00	0.0029616300016642
428.00	0.0030523100867867
429.00	0.003876639995724
430.00	0.0045405901037157
431.00	0.0039052499923855
432.00	0.0026784699875861
433.00	0.0013352199457586
434.00	0.00085028697503731
435.00	0.001021460047923
436.00	0.00087337201694027
437.00	0.00085098500130698
438.00	0.00085721397772431
439.00	0.0012305399868637
440.00	0.0015122200129554
441.00	0.0013271500356495
442.00	0.00091389799490571
443.00	0.00060802500229329
444.00	0.0003132940037176
445.00	0.0003778150130529
446.00	0.00037723299465142
447.00	0.00030011701164767
448.00	0.00028523898799904
449.00	0.00050106202252209
450.00	0.00070392998168245
451.00	0.00069422001251951
452.00	0.00059946998953819
453.00	0.00047135498607531
454.00	0.00033989700023085
455.00	0.00024664899683557
456.00	0.00027705798856914
457.00	0.00027478800620884
458.00	9.7552401712164E-5
459.00	0.00028720201225951
460.00	0.00034880198654719
461.00	0.00041811299161054
462.00	0.0004701649886556
463.00	0.0004612950142473
464.00	0.00045005499850959
465.00	0.00038986498839222
466.00	0.00030395900830626
467.00	0.00023067700385582
468.00	0.00032199299312197
469.00	0.00023771000269335
470.00	0.0002641020109877
471.00	0.00033667898969725
472.00	0.00031840399606153
473.00	0.00041742000030354
474.00	0.00048571400111541
475.00	0.00046371799544431
