AreaID,AR,Area,Circ,IntDen,Mean,RawIntDen,Round,Solidity,X,Y,NormalizedIntDen
21,1.348,37.0,0.777,28787.0,778.027,28787.0,0.742,0.822,285.932,374.851,0.11151139053197134
1,1.095,40.0,0.838,17602.0,440.05,17602.0,0.913,0.851,364.25,23.525,0.0681843712836961
