Z,m10_roi1_00001,m11_roi1_00001,m12_roi1_00001,m13_roi1_00002,m15_roi1_00001,m16_roi1_00001,m5_roi2_00003,m6_roi1_00001,m7_roi1_00001,m9_roi1_00002
0,"[385.  230.  136.  263.5 377.5 368.  103.  339.  357.   40.  102.5  63.
 255.5 439.5 200.5 245.  299.  188.5 287.  118.5  89.  154.  446.  448.
 389.5 302.5 367.  375.5 346.5 359.  312.  130.  265.  433. ]","[367.5 428.5 263.5 477.5 340.  415.5  41.5 429.  331.5 392.  242.5 263.
 214.  253.  188.  187.5 227. ]","[ 70.5 205.5 313.  219.5 173.5 246.   63.5 122.  406.5 247.5 140.  467.
 427.  412.5 281.  327.5 362.5 195.  364.5 258.  420.  447.  221.  459.
  92.5 348.  309.  271.   84.  351.5 113.  411.5 196.5  99.  256.5 411.5
  24.5 334.5 466.  362. ]","[133.  200.  292.   46.5 233.5 204.5 469.5 469.5 450.5 159.5 292.  102.5
 432.5 399.5 304.  357.  206.5 388.   40.  256.  167.5 139.5 126.   82.
 361.   77.  277.5  96. ]","[ 91.  153.  206.5 170.  344.5 369.  252.  238.  225.  338.5 261.  271.5
 314.5 181.5 182.  138.5 215.  418.  351.  293.5 239.5  98.5 190.  285.5]","[333.5 490.5 118.5 211.5 307.5 106.  426.  477.  429.5 414.  248.5 358.
 312.  273.5 231.5 426.  300.5 450.  468.  316.  101.  344.5  70.  233.
  44.   52.  387.5 207.5 256.  250.5 164.  348.  363.  336.  267.5 428.
 393.  159.5]","[395.  211.  304.5  30.  243.5 236.  210.5 142.  333.  420.  148.  229.
 399.  385.  383.  274.5 277.  427.   86.5]","[211.5 396.5 313.  457.  364.5 268.5  82.5 154.  331.5 213.5 193.5 212.
 231.5 451.5 211.5 281.5 399.  175.  239.  325.  129.  179.5 478.5 288. ]","[175.  328.  429.  346.5 476.5 444.   97.  210.  286.5 180.  386.5 283.
 268.5 423. ]","[366.  338.5 132.5 167.5 304.5 352.5 297.5 333.  244.  173.5 396.  231.5
  65.  474.5  62.  110.   40.  145.  173.5  23.5 457.  310.  428. ]"
1,"[207.  128.5  91.5 375.  467.5 302.5 191.  120.   42.5 203.  271.  376.
 446.  240.  263.  497.5 232.  415.5 473.  219.  124.5 377.  412.  349.5
 367.   78.5 155.  268.5 189.5 236.5 226.   46.  253.5 174.5]","[196.  456.5  51.  170.   55.  267.  495.  313.5 462.5  52.5 182.5 274.5
 460.  144.5 234.  299.5 385. ]","[241.5 317.  331.   19.  488.  342.  158.5 119.5 122.5  86.  213.  476.
 411.  451.5 131.5 131.5 227.5 365.5 100.  280.  252.5 319.  271.  224.
  74.   22.5  79.5 217.  133.5 148.  156.   77.  102.5  32.   34.  195.5
 283.  247.  170.5 118. ]","[197.  193.  224.5 205.  248.5 297.  286.5 286.5 106.  225.5 291.5  31.
 159.5 424.5 457.5 431.5 322.5 198.5 368.  118.  385.   84.5 382.   91.5
 358.  175.  374.  290. ]","[130.5 117.  171.  345.  191.5 338.5  16.5 396.5 269.5 436.  462.5 211.5
 150.  382.  332.  366.  306.5 220.   52.5 222.  113.  435.5 478.5  87. ]","[ 34.5  86.  273.5 271.5 111.  473.  418.5 491.  351.  462.  396.5  40.
 294.5 323.  351.5 283.5 198.  198.5 316.  398.5  89.  225.5 399.5 242.
 281.  477.5 269.   72.  270.5  72.  353.  450.  252.5 169.  180.  327.
 257.  152.5]","[394.5 477.5 454.  370.  456.  410.5 240.5 120.  226.  189.  289.  154.5
  67.  501.   24.  195.  245.  350.5 108.5]","[164.5 277.  156.5  29.5 375.  262.5 232.5  67.  296.5 268.5 328.  136.5
 493.  299.  440.5 106.5 172.5 127.  169.  245.  183.5 180.5 203.5 125. ]","[145.  419.  234.  483.  148.5 358.   43.  377.  400.5 485.  409.  468.5
 303.5 436. ]","[ 32.5 110.   38.5  58.5 234.5 461.   26.5 161.5  33.5 413.  373.5 113.5
 257.  405.  494.  439.  441.5 346.  156.  338.  297.  316.   71.5]"
2,"[ 10.  30.  35.  35.  35.  35.  35.  40.  40.  40.  40.  45.  45.  50.
  50.  50.  50.  55.  60.  65.  70.  85. 100. 105. 105. 140. 180. 180.
 185. 190. 190. 195. 195. 235.]","[  5.  20.  20.  25.  35.  35.  40.  40.  40.  50.  60.  70.  70. 125.
 165. 165. 180.]","[ 20.  20.  20.  25.  25.  25.  25.  30.  30.  30.  35.  35.  35.  35.
  40.  40.  40.  40.  40.  45.  45.  50.  50.  60.  60.  70.  70. 115.
 145. 170. 170. 175. 190. 190. 190. 210. 215. 245. 250. 265.]","[ 15.  15.  15.  15.  25.  30.  35.  40.  45.  50.  50.  55.  55.  55.
  60.  60.  60.  65.  95. 100. 100. 110. 125. 135. 135. 150. 155. 155.]","[ 15.  20.  20.  20.  25.  30.  30.  30.  35.  40.  40.  40.  40.  60.
  60.  60.  65.  70.  75.  80. 105. 110. 120. 125.]","[  5.   5.   5.  15.  15.  20.  20.  25.  25.  35.  40.  40.  40.  40.
  45.  50.  55.  65.  65.  75.  85.  95. 110. 110. 115. 115. 115. 120.
 130. 135. 145. 150. 155. 160. 160. 165. 165. 185.]","[ 5.  5. 10. 10. 10. 15. 20. 20. 20. 20. 30. 35. 35. 40. 45. 45. 55. 55.
 60.]","[  5.   5.   5.  15.  20.  25.  30.  35.  35.  60.  60.  65.  75.  75.
  75.  85. 100. 105. 105. 105. 115. 120. 120. 135.]",[  5.   5.  15.  15.  15.  20.  25.  25.  25.  40.  70.  80. 115. 125.],"[ 10.  15.  15.  15.  15.  15.  20.  20.  25.  25.  30.  35.  35.  35.
  50.  50.  55.  60.  65.  70. 100. 110. 115.]"
