stdevFWHM,stdevFeFv,group,vessel_type,filename
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.223588890627363,0.126546272411195,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.193164479398908,0.105895819501416,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0933792017347255,0.0645559892524437,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.444187394243189,0.116282060597844,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.0568112952655656,0.117854043445706,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.185226438115477,0.037025162658897,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.117225204538295,0.134272645341078,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.025444933038853,0.153540555914542,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.150519374984512,0.0391819401915032,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.367185764146507,0.0353186588174702,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.0859114560355489,0.127941681449701,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0507761921383993,0.079991699781433,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
