rowID,meanFWHM,stdevFWHM,minFWHM,maxFWHM,meanFeFv,stdevFeFv,minFeFv,maxFeFv,X,Y,Z,capLogical,venLogical,group
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_07,4.44343484911921,0.0724004934457637,4.31837865738978,4.58457178735109,0.258518695121515,0.0859337324643824,0.168274187175172,0.467108571942562,422.0,203.5,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_08,3.91902300365277,0.117077457674547,3.77009571249315,4.14059976335592,1.14289421039168,0.693453315669384,0.425819457143254,2.28275601002298,248.0,154.0,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_09,5.4402595785054,0.714641933938432,4.60732106142035,6.89216038933499,1.17353134875645,0.461483562142765,0.783121724923922,2.14295574597628,32.5,407.0,30.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_10,5.65754991615017,0.168920588948671,5.39789536427451,5.92161785549659,0.754128624118973,0.0790928064633628,0.597736603326716,0.868942503682937,38.5,435.5,35.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_11,4.3259837146097,0.0536476368530669,4.27630823822308,4.45876143687861,0.477301124884323,0.0987655943480968,0.374543649098717,0.671551951942205,61.0,82.5,35.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_12,4.13234701658246,0.0482426229510964,4.07336118771174,4.21822716165398,1.00720891156961,0.14374217703465,0.737013653484124,1.23468120260491,334.5,204.5,135.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_13,4.07614689328807,0.193164479398908,3.69520417754712,4.32412591465813,0.234733765386099,0.105895819501416,0.101542210104224,0.403940249526799,239.0,166.0,30.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_14,,,,,,,,,166.0,336.5,35.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_15,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_16,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_17,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_18,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_19,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_20,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_21,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_22,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_23,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_24,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_25,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_26,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_27,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_28,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_29,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_30,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_31,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_32,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_33,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_34,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_35,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_36,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_37,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_38,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_39,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_01,4.0796303774399,0.1387784508421,3.84730070794167,4.26278974099069,0.24038398009426,0.0628004884600194,0.142004253590429,0.315429921644913,329.5,425.0,10.0,1.0,0.0,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_02,3.44694333715526,0.0450692514902457,3.38246925290238,3.52100518197822,0.734013433907287,0.13510694615762,0.465364511727412,0.921863539718695,453.5,377.5,25.0,1.0,0.0,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_03,4.05746035128593,0.116039787034047,3.92254823835767,4.23000811413768,2.06998349715825,0.347940496924372,1.44158609376186,2.48180631713755,280.5,499.5,85.0,1.0,0.0,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_04,,,,,,,,,132.5,348.5,65.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_05,5.20881711141078,0.0686373794323734,5.12501373982677,5.30260968322181,1.5788835635262,0.166246158398243,1.3940272900667,1.91923677931231,115.5,29.5,40.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_06,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_07,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_08,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_09,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_10,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_11,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_12,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_13,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_14,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_15,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_16,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_17,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_18,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_19,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_20,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_21,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_22,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_23,,,,,,,,,,,,,,B
